transcript_file,label,utterance_id,child_id,age_months,tokens,pos,speaker_code,speech_act
32636,1,14566135,19334,42.0008624407072,"[""what's"", 'happening', 'in', 'the', 'picture']","['pro:int', 'part', 'prep', 'det:art', 'n']",INV,QN
32636,1,14566137,19334,42.0008624407072,"['he', 'found', 'the', 'uh', 'he', 'found', 'the', 'cookies']","['', '', '', '', 'pro:sub', 'v', 'det:art', 'n']",CHI,SA
32636,1,14566142,19334,42.0008624407072,"['what', 'else', 'is', 'happening', 'in', 'this', 'picture']","['pro:int', 'post', 'aux', 'part', 'prep', 'det:dem', 'n']",INV,QN
32636,1,14566146,19334,42.0008624407072,"['he', 'got', 'wet']","['pro:sub', 'v', 'adj']",CHI,SA
32636,1,14566149,19334,42.0008624407072,"['and', ""what's"", 'going', 'to', 'happen', 'next']","['coord', 'pro:int', 'part', 'inf', 'v', 'adv']",INV,QN
32636,1,14566154,19334,42.0008624407072,"['he', 'got', 'wet', 'on', 'her', 'shoe']","['pro:sub', 'v', 'adj', 'prep', 'det:poss', 'n']",CHI,SA
32636,1,14566159,19334,42.0008624407072,"['xxx', 'shoes']","['', 'n']",CHI,SA
32636,1,14566163,19334,42.0008624407072,"['okay', 'and', 'then', 'what', 'else', 'would', 'happen', 'in', 'the', 'story']","['co', 'coord', 'adv:tem', 'pro:int', 'post', 'mod', 'v', 'prep', 'det:art', 'n']",INV,QN
32636,1,14566168,19334,42.0008624407072,"['tell', 'me', 'one', 'more', 'thing', 'about', 'the', 'picture']","['v', 'pro:obj', 'pro:indef', 'qn', 'n', 'prep', 'det:art', 'n']",INV,RP
32636,1,14566172,19334,42.0008624407072,"['he', 'found', 'the', 'shoe', 'in', 'the', 'water']","['pro:sub', 'v', 'det:art', 'n', 'prep', 'det:art', 'n']",CHI,ST
32636,1,14566176,19334,42.0008624407072,"[""what's"", 'happening', 'in', 'the', 'picture']","['pro:int', 'part', 'prep', 'det:art', 'n']",INV,QN
32636,1,14566181,19334,42.0008624407072,"[""he's"", 'putting']","['pro:sub', 'part']",CHI,SA
32636,1,14566186,19334,42.0008624407072,"['what', 'else', 'is', 'happening', 'in', 'this', 'picture']","['pro:int', 'post', 'aux', 'part', 'prep', 'det:dem', 'n']",INV,QN
32636,1,14566191,19334,42.0008624407072,"['the', 'rest', 'fall', 'down']","['det:art', 'n', 'v', 'adv']",CHI,SA
32636,1,14566197,19334,42.0008624407072,"['and', ""what's"", 'going', 'to', 'happen', 'next']","['coord', 'pro:int', 'part', 'inf', 'v', 'adv']",INV,QN
32636,1,14566201,19334,42.0008624407072,"['fall', 'down']","['v', 'adv']",CHI,SA
32636,1,14566205,19334,42.0008624407072,"['the', 'boxes', 'are', 'falling', 'down']","['det:art', 'n', 'aux', 'part', 'adv']",INV,AP
32636,1,14566210,19334,42.0008624407072,"[""what's"", 'going', 'to', 'happen', 'next', 'in', 'the', 'story']","['pro:int', 'part', 'inf', 'v', 'adv', 'prep', 'det:art', 'n']",INV,QN
32636,1,14566223,19334,42.0008624407072,"['and', 'what', 'else', 'would', 'happen', 'in', 'the', 'story']","['coord', 'pro:int', 'post', 'mod', 'v', 'prep', 'det:art', 'n']",INV,QN
32636,1,14566227,19334,42.0008624407072,"['tell', 'me', 'one', 'more', 'thing', 'about', 'the', 'picture']","['v', 'pro:obj', 'pro:indef', 'qn', 'n', 'prep', 'det:art', 'n']",INV,RP
32636,1,14566231,19334,42.0008624407072,"['I', 'need', 'tissue']","['pro:sub', 'v', 'n']",CHI,ST
32636,1,14566238,19334,42.0008624407072,"[""what's"", 'happening', 'in', 'the', 'picture']","['pro:int', 'part', 'prep', 'det:art', 'n']",INV,QN
32636,1,14566242,19334,42.0008624407072,"['just', 'tell', 'me', 'what', 'you', 'see', 'in', 'the', 'picture']","['adv', 'v', 'pro:obj', 'pro:int', 'pro:per', 'v', 'prep', 'det:art', 'n']",INV,RP
32636,1,14566250,19334,42.0008624407072,"['I', 'need', 'tissue']","['pro:sub', 'v', 'n']",CHI,AD
32636,1,14566267,19334,42.0008624407072,"['just', 'tell', 'me', 'what', 'you', 'see', 'in', 'the', 'picture']","['adv', 'v', 'pro:obj', 'pro:int', 'pro:per', 'v', 'prep', 'det:art', 'n']",INV,RP
32636,1,14566277,19334,42.0008624407072,"[""what's"", 'happening', 'in', 'the', 'picture']","['pro:int', 'part', 'prep', 'det:art', 'n']",INV,QN
