transcript_file,label,utterance_id,child_id,age_months,tokens,pos,speaker_code,speech_act
34743,1,15415832,20714,63.03414854514466,"[""there's"", 'a', 'horse', 'you', 'get', 'that', 'horse', 'over', 'there']","['pro:exist', 'det:art', 'n', 'pro:per', 'v', 'det:dem', 'n', 'prep', 'n']",MOT,ST
34743,1,15415833,20714,63.03414854514466,"['that', 'a']","['comp', 'det:art']",CHI,DW
34743,1,15415834,20714,63.03414854514466,"['this', 'one']","['pro:dem', 'pro:indef']",MOT,CT
34743,1,15415835,20714,63.03414854514466,"['moo', 'cow', 'a', 'moo', 'cow']","['v', 'n', 'det:art', 'v', 'n']",CHI,ST
34743,1,15415836,20714,63.03414854514466,"['oh', 'is', 'he', 'going', 'to', 'market']","['co', 'aux', 'pro:sub', 'part', 'inf', 'v']",MOT,ST
34743,1,15415837,20714,63.03414854514466,"['I', 'like', 'a', 'moo', 'cow']","['pro:sub', 'v', 'det:art', 'v', 'n']",CHI,ST
34743,1,15415838,20714,63.03414854514466,"['I', 'like', 'a', 'horsie', 'ah', 'right', 'there']","['pro:sub', 'v', 'det:art', 'n', 'co', 'adv', 'adv']",CHI,ST
34743,1,15415839,20714,63.03414854514466,"['you', 'want', 'the', 'cow', 'to', 'pull', 'it']","['pro:per', 'v', 'det:art', 'n', 'inf', 'v', 'pro:per']",MOT,RQ
34743,1,15415840,20714,63.03414854514466,"['no', 'I', 'play', 'there']","['co', 'pro:sub', 'n', 'adv']",CHI,RD
34743,1,15415841,20714,63.03414854514466,"['oh', 'I', 'see']","['co', 'pro:sub', 'v']",MOT,AC
34743,1,15415842,20714,63.03414854514466,"['moo', 'cow', 'there', 'another', 'moo', 'cow']","['v', 'n', 'adv', 'qn', 'v', 'n']",CHI,ST
34743,1,15415843,20714,63.03414854514466,"['well', 'shall', 'we', 'build', 'another', 'fence', 'and', 'then', 'you', 'can', 'put', 'something', 'else', 'in']","['co', 'mod', 'pro:sub', 'v', 'qn', 'n', 'coord', 'adv:tem', 'pro:per', 'mod', 'v', 'pro:indef', 'post', 'adv']",MOT,RQ
34743,1,15415844,20714,63.03414854514466,"['mm', 'a', 'moo', 'cow', 'and', 'a', 'horsie']","['', 'det:art', 'v', 'n', 'coord', 'det:art', 'n']",CHI,ST
34743,1,15415845,20714,63.03414854514466,"['well', 'you', 'tell', 'me', 'where', 'you', 'want', 'them', 'to', 'go']","['co', 'pro:per', 'v', 'pro:obj', 'pro:int', 'pro:per', 'v', 'pro:obj', 'inf', 'v']",MOT,RP
34743,1,15415846,20714,63.03414854514466,"['yeah', 'yeah']","['co', 'co']",CHI,AD
34743,1,15415847,20714,63.03414854514466,['okay'],['co'],MOT,AD
34743,1,15415848,20714,63.03414854514466,['yeah'],['co'],CHI,AD
34743,1,15415849,20714,63.03414854514466,"[""you're"", 'the', 'boss']","['pro:per', 'det:art', 'n']",MOT,ST
34743,1,15415850,20714,63.03414854514466,"['look', 'a', 'ticket']","['v', 'det:art', 'n']",CHI,RP
34743,1,15415851,20714,63.03414854514466,"['I', ""don't"", 'think', ""there's"", 'any', 'more', 'of', 'those', 'Andrew']","['pro:sub', 'mod', 'v', 'pro:exist', 'qn', 'qn', 'prep', 'det:dem', 'n:prop']",MOT,YQ
34743,1,15415852,20714,63.03414854514466,['yeah'],['co'],CHI,AA
34743,1,15415853,20714,63.03414854514466,"['there', 'you', 'are', 'what']","['adv', 'pro:per', 'cop', 'pro:int']",MOT,QN
34743,1,15415854,20714,63.03414854514466,"['now', ""what's"", 'going', 'in', 'there']","['adv', 'pro:int', 'part', 'prep', 'n']",MOT,QN
34743,1,15415855,20714,63.03414854514466,['yeah'],['co'],CHI,
34743,1,15415856,20714,63.03414854514466,"['in', 'there']","['prep', 'n']",CHI,SA
34743,1,15415857,20714,63.03414854514466,"['where', 'shall', 'we', 'put', 'it']","['pro:int', 'mod', 'pro:sub', 'v', 'pro:per']",MOT,QN
34743,1,15415858,20714,63.03414854514466,['um'],[''],CHI,YY
34743,1,15415859,20714,63.03414854514466,['mm'],[''],MOT,YY
34743,1,15415860,20714,63.03414854514466,['there'],['adv'],CHI,YY
34743,1,15415861,20714,63.03414854514466,['here'],['adv'],MOT,TO
34743,1,15415862,20714,63.03414854514466,['mm'],[''],CHI,YY
34743,1,15415863,20714,63.03414854514466,"['like', 'that', 'and', ""what's""]","['prep', 'pro:dem', 'coord', 'pro:int']",MOT,QN
34743,1,15415864,20714,63.03414854514466,['yeah'],['co'],CHI,AC
34743,1,15415865,20714,63.03414854514466,"['dear', ""you've"", 'broken', 'it']","['adj', 'pro:per', 'part', 'pro:per']",MOT,ST
34743,1,15415866,20714,63.03414854514466,"['there', 'you', 'are']","['adv', 'pro:per', 'cop']",MOT,MK
34743,1,15415867,20714,63.03414854514466,"[""what's"", 'going', 'in', 'there']","['pro:int', 'n:gerund', 'prep', 'n']",MOT,QN
34743,1,15415868,20714,63.03414854514466,"['shall', 'we', 'put', 'some', 'trees', 'up']","['mod', 'pro:sub', 'v', 'qn', 'n', 'adv']",MOT,RQ
34743,1,15415869,20714,63.03414854514466,['mm'],[''],CHI,YY
34743,1,15415870,20714,63.03414854514466,"['here', 'you', 'are', 'then']","['adv', 'pro:per', 'cop', 'adv:tem']",MOT,SA
34743,1,15415871,20714,63.03414854514466,"['no', 'moo', 'cow', 'that', 'live', 'there']","['co', 'v', 'n', 'pro:rel', 'v', 'adv']",CHI,DW
34743,1,15415872,20714,63.03414854514466,"['and', ""where's"", 'the', 'lady', 'that', 'milks', 'the', 'cows']","['coord', 'pro:int', 'det:art', 'n', 'pro:rel', 'v', 'det:art', 'n']",MOT,QN
34743,1,15415873,20714,63.03414854514466,"['can', 'you', 'find', 'her']","['mod', 'pro:per', 'v', 'pro:obj']",MOT,RP
34743,1,15415874,20714,63.03414854514466,['there'],['adv'],CHI,YY
34743,1,15415875,20714,63.03414854514466,"['is', 'that', 'the', 'lady', 'that', 'milks', 'the', 'cows']","['cop', 'comp', 'det:art', 'n', 'pro:rel', 'v', 'det:art', 'n']",MOT,ST
34743,1,15415876,20714,63.03414854514466,['there'],['adv'],CHI,YY
34743,1,15415877,20714,63.03414854514466,"['can', 'you', 'put', 'her', 'in', 'there', 'with', 'the', 'cow']","['mod', 'pro:per', 'v', 'pro:obj', 'prep', 'n', 'prep', 'det:art', 'n']",MOT,RP
34743,1,15415878,20714,63.03414854514466,"['in', 'there']","['prep', 'n']",CHI,AD
34743,1,15415879,20714,63.03414854514466,"['two', 'cow']","['det:num', 'n']",CHI,ST
34743,1,15415880,20714,63.03414854514466,"['two', 'cows']","['det:num', 'n']",MOT,AP
34743,1,15415881,20714,63.03414854514466,"['oh', 'fat', 'cow', 'that', 'one']","['co', 'adj', 'n', 'adv', 'pro:indef']",MOT,ST
34743,1,15415882,20714,63.03414854514466,"['no', 'no', 'big', 'cow', 'and', 'this', 'live', 'there']","['qn', 'qn', 'adj', 'n', 'coord', 'pro:dem', 'v', 'adv']",CHI,ST
34743,1,15415883,20714,63.03414854514466,"['are', 'you', 'putting', 'those', 'in', 'there']","['cop', 'pro:per', 'part', 'pro:dem', 'prep', 'n']",MOT,YQ
34743,1,15415884,20714,63.03414854514466,['mm'],[''],CHI,YY
34743,1,15415885,20714,63.03414854514466,"['go', 'on', 'then']","['v', 'adv', 'adv:tem']",MOT,RP
34743,1,15415886,20714,63.03414854514466,"['one', 'two', 'three', 'four']","['det:num', 'det:num', 'det:num', 'det:num']",CHI,CN
34743,1,15415887,20714,63.03414854514466,"['how', 'many', 'more']","['pro:int', 'qn', 'pro:indef']",MOT,CN
34743,1,15415888,20714,63.03414854514466,['five'],['det:num'],CHI,CN
34743,1,15415889,20714,63.03414854514466,['five'],['det:num'],MOT,CN
34743,1,15415890,20714,63.03414854514466,"['seven', 'eight', 'nine']","['det:num', 'det:num', 'det:num']",CHI,CN
34743,1,15415891,20714,63.03414854514466,"['oh', ""they're"", 'all', 'sat', 'on', 'top', 'of', 'each_other']","['co', 'pro:sub', 'post', 'part', 'prep', 'n', 'prep', 'pro:refl']",MOT,ST
34743,1,15415892,20714,63.03414854514466,['ten'],['det:num'],CHI,YY
34743,1,15415893,20714,63.03414854514466,"['mm', 'can', 'we', 'make', 'another', 'fence']","['', 'mod', 'pro:sub', 'v', 'qn', 'n']",MOT,RP
34743,1,15415894,20714,63.03414854514466,"['I', ""don't"", 'think', ""we've"", 'got', 'enough', 'have', 'we']","['pro:sub', 'mod', 'v', 'pro:sub', 'part', 'adv', 'v', 'pro:sub']",MOT,YQ
34743,1,15415895,20714,63.03414854514466,['yeah'],['co'],CHI,AA
34743,1,15415896,20714,63.03414854514466,"['to', 'make', 'just', 'a', 'little', 'tiny', 'one']","['inf', 'v', 'adv', 'det:art', 'adj', 'adj', 'pro:indef']",MOT,ST
34743,1,15415897,20714,63.03414854514466,['xxx'],[''],CHI,YY
34743,1,15415898,20714,63.03414854514466,"['a', 'little', 'tiny', 'weeny', 'one']","['det:art', 'adj', 'adj', 'adj', 'pro:indef']",MOT,ST
34743,1,15415899,20714,63.03414854514466,['yep'],['co'],CHI,AA
34743,1,15415902,20714,63.03414854514466,['oh'],['co'],MOT,MK
34743,1,15415906,20714,63.03414854514466,"['there', 'this', 'there']","['adv', 'pro:dem', 'adv']",CHI,MK
34743,1,15415909,20714,63.03414854514466,"['it', ""won't"", 'stay', 'there', 'will', 'it']","['pro:per', 'mod', 'v', 'adv', 'mod', 'pro:per']",MOT,YQ
34743,1,15415912,20714,63.03414854514466,['there'],['adv'],CHI,AA
34743,1,15415915,20714,63.03414854514466,"['oh', 'they', 'might', 'fit', 'there', 'are', ""there's"", 'some', 'oh', ""there's"", 'some']","['co', 'pro:sub', 'mod', 'v', 'adv', 'cop', 'pro:exist', 'qn', 'co', 'pro:exist', 'qn']",MOT,AC
34743,1,15415918,20714,63.03414854514466,"['can', 'you', 'fix', 'them', 'together']","['mod', 'pro:per', 'v', 'pro:obj', 'adv']",MOT,RP
34743,1,15415921,20714,63.03414854514466,['no'],['co'],CHI,RD
34743,1,15415923,20714,63.03414854514466,['uh'],[''],MOT,RD
34743,1,15415926,20714,63.03414854514466,['no'],['co'],CHI,RD
34743,1,15415929,20714,63.03414854514466,"['do', 'you', 'know', 'how', 'to', 'do', 'it', 'mm']","['mod', 'pro:per', 'v', 'pro:int', 'inf', 'v', 'pro:per', '']",MOT,YQ
34743,1,15415932,20714,63.03414854514466,"['yeah', 'I', 'do', 'that', 'it']","['co', 'pro:sub', 'v', 'pro:dem', 'pro:per']",CHI,AA
34743,1,15415935,20714,63.03414854514466,"['shall', 'I', 'do', 'it']","['mod', 'pro:sub', 'v', 'pro:per']",MOT,YQ
34743,1,15415937,20714,63.03414854514466,['mhm'],['co'],CHI,AA
34743,1,15415940,20714,63.03414854514466,"['and', ""who's"", 'going', 'in', 'this', 'one']","['coord', 'pro:rel', 'part', 'prep', 'det:dem', 'pro:indef']",MOT,QN
34743,1,15415942,20714,63.03414854514466,"['um', 'a', 'horsie', 'and', 'a', 'moo', 'cow']","['', 'det:art', 'n', 'coord', 'det:art', 'v', 'n']",CHI,SA
34743,1,15415945,20714,63.03414854514466,"['moo', 'cows']","['v', 'n']",MOT,YQ
34743,1,15415947,20714,63.03414854514466,['yeah'],['co'],CHI,AA
